用户ID,特征,情节效率,耗材,对比,时间
"1001","80㎡|两居|养宠","实木+","宠物毛发清理:85%\n自动回充成功率:92%","胶刷更换:中\n滤网更换:剩余30天","2025-01"
"1002","130㎡|四居|三代同堂","通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:26%\n水箱未激活","2025-02"
"1003","90㎡|三居|养宠","实木+","宠物毛发清理:92%\n地毯增压使用:16次/月","胶刷更换:已更换\n尘盒容量:已清理","2025-03"
"1004","85㎡|两居|老人","混合地面","猫砂处理:7次/月\n自动回充成功率:88%","主刷更换:已更换\n滤网更换:剩余50天","2025-03"
"1005","120㎡|大平层|养宠","大理石","覆盖率:98%\n定时清扫使用率:95%","电池衰减:27%\n水箱激活:已使用","2025-03"
"1006","150㎡|别墅|儿童","多层","楼梯模式:支持\n沿边清扫率:78%","边刷更换:已更换\n尘袋容量:已清理","2025-03"
"1007","55㎡|一居|独居","复合地板","覆盖率:92%\n日均清扫:37㎡","滤网寿命:剩余70天\n主刷磨损:轻微","2025-03"
"1008","110㎡|三居|三口之家","大理石","覆盖率:88%\n避障成功率:95%","尘袋容量:52%\n边刷已用:8次","2025-03"
"1009","80㎡|两居|养宠","实木+","宠物毛发清理:86%\n自动回充成功率:94%","胶刷磨损:中\n滤网更换:剩余20天","2025-03"
"1010","130㎡|四居|三代同堂","通体砖","覆盖率:85%\n手动辅助清扫:2次/天","电池衰减:16%\n边刷寿命:175小时","2025-03"